"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-15,2026-04-13,"Img 7 | Stop Wasting Rep Hours",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,172,1.156977,,"Using campaign budget",0,10.88,Ongoing,-,-,-,199,54.673367,2,,5.44,1.005025,4,2.01005,2.72,,
2026-03-15,2026-04-13,"Img 20 | Your Reps Are Chasing Ghosts",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 20 | Your Reps Are Chasing Ghosts",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,0.19,Ongoing,-,-,-,9,21.111111,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 11 | Stop Being the Cheap Option",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,0.34,Ongoing,-,-,-,9,37.777778,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 16 | Bid Invite Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,1,1,,"Using campaign budget",0,0,Ongoing,-,-,-,1,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Ad 02 | Competitor in the Plans",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,29,1.137931,,"Using campaign budget",0,1.63,Ongoing,-,-,-,33,49.393939,2,,0.815,6.060606,2,6.060606,0.815,1,1.63
2026-03-15,2026-04-13,"Ad 01 | Waiting for Bid Invites – Copy",not_delivering,"7-day click, 1-day view or 1-day engaged view",2,actions:offsite_conversion.fb_pixel_lead,2371,1.637284,177.895,"Using campaign budget",0,355.79,Ongoing,-,-,-,3882,91.651211,43,,8.274186,1.107676,91,2.344153,3.90978,33,10.781515
2026-03-15,2026-04-13,"Ad 03 | Not Selling Discounting",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,270,1.277778,,"Using campaign budget",0,34.52,Ongoing,-,-,-,345,100.057971,13,,2.655385,3.768116,15,4.347826,2.301333,7,4.931429
2026-03-15,2026-04-13,"Ad 04 | Reps Too Expensive",not_delivering,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_lead,330,1.30303,67.83,"Using campaign budget",0,67.83,Ongoing,-,-,-,430,157.744186,19,,3.57,4.418605,24,5.581395,2.82625,14,4.845
2026-03-15,2026-04-13,"Ad 05 | Real Sales Teams",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,2967,1.070104,,"Using campaign budget",0,125.45,Ongoing,-,-,-,3175,39.511811,41,,3.059756,1.291339,44,1.385827,2.851136,20,6.2725
2026-03-15,2026-04-13,"AD D: ""CLOSE THE GOOGLE TAB"" (Embarrassment / Waste)",not_delivering,"7-day click or 1-day view",13,actions:leadgen.other,4393,1.561575,38.53923077,"Using campaign budget",0,501.01,Ongoing,-,-,-,6860,73.033528,76,,6.592237,1.107872,149,2.172012,3.362483,9,55.667778
2026-03-15,2026-04-13,"AD A: ""THEY SHOWED UP FIRST"" (Loss Aversion / Paranoia)",not_delivering,"7-day click or 1-day view",5,actions:leadgen.other,887,1.245772,20.57,"Using campaign budget",0,102.85,Ongoing,-,-,-,1105,93.076923,21,,4.897619,1.900452,35,3.167421,2.938571,2,51.425
2026-03-15,2026-04-13,"AD B: ""PIPELINE DEAD"" (Anxiety / Urgency)",not_delivering,"7-day click or 1-day view",,,56,1.035714,,"Using campaign budget",0,6.3,Ongoing,-,-,-,58,108.62069,,,,,0,0,0,,
2026-03-15,2026-04-13,"AD C: ""GHOST DATA"" (Frustration / Wasted Budget)",not_delivering,"7-day click or 1-day view",,,18,1,,"Using campaign budget",0,1.31,Ongoing,-,-,-,18,72.777778,,,,,0,0,0,,
