"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Img 28 | Your Reps Are Chasing the Wrong Projects",inactive,"7-day click, 1-day view or 1-day engaged view",,,2,1,,"Using campaign budget",0,0.12,Ongoing,-,-,-,2,60,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 25 | Your Window Before Bid",not_delivering,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_initiate_checkout,1588,1.630982,197.81,"Using campaign budget",0,197.81,Ongoing,-,-,-,2590,76.374517,51,,3.878627,1.969112,78,3.011583,2.536026,35,5.651714
2026-03-10,2026-04-03,"Img 22 | Bid Time = Too Late",inactive,"7-day click, 1-day view or 1-day engaged view",,,22,1,,"Using campaign budget",0,1.47,Ongoing,-,-,-,22,66.818182,,,,,1,4.545455,1.47,,
2026-03-10,2026-04-03,"Img 20 | Your Reps Are Chasing Ghosts",inactive,"7-day click, 1-day view or 1-day engaged view",,,37,1.459459,,"Using campaign budget",0,1.92,Ongoing,-,-,-,54,35.555556,12,,0.16,22.222222,11,20.37037,0.174545,,
2026-03-10,2026-04-03,"Img 16 | Bid Invite Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,4,1,,"Using campaign budget",0,0.24,Ongoing,-,-,-,4,60,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 13 | Stop Selling Price, Sell Spec",inactive,"7-day click, 1-day view or 1-day engaged view",,,10,1,,"Using campaign budget",0,0.65,Ongoing,-,-,-,10,65,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,57,1.157895,,"Using campaign budget",0,2.82,Ongoing,-,-,-,66,42.727273,1,,2.82,1.515152,3,4.545455,0.94,,
2026-03-10,2026-04-03,"Img 7 | Stop Wasting Rep Hours",inactive,"7-day click, 1-day view or 1-day engaged view",,,11,1.181818,,"Using campaign budget",0,2.42,Ongoing,-,-,-,13,186.153846,1,,2.42,7.692308,1,7.692308,2.42,,
2026-03-10,2026-04-03,"Img 1 | After Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,36,1.055556,,"Using campaign budget",0,3.63,Ongoing,-,-,-,38,95.526316,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 22 | Bid Time = Too Late",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1.142857,,"Using campaign budget",0,0.16,Ongoing,-,-,-,8,20,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 12 | Pipeline Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,15,1.066667,,"Using campaign budget",0,0.69,Ongoing,-,-,-,16,43.125,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 13 | Stop Selling Price, Sell Spec",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,82,1.04878,,"Using campaign budget",0,7.84,Ongoing,-,-,-,86,91.162791,6,,1.306667,6.976744,7,8.139535,1.12,3,2.613333
2026-03-10,2026-04-03,"Img 18 | This Is What You Get",inactive,"7-day click, 1-day view or 1-day engaged view",,,299,1.110368,,"Using campaign budget",0,36.17,Ongoing,-,-,-,332,108.945783,10,,3.617,3.012048,12,3.614458,3.014167,3,12.056667
2026-03-10,2026-04-03,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,1,1,,"Using campaign budget",0,0.01,Ongoing,-,-,-,1,10,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,25,1.08,,"Using campaign budget",0,2.58,Ongoing,-,-,-,27,95.555556,2,,1.29,7.407407,2,7.407407,1.29,,
2026-03-10,2026-04-03,"Img 23 | Monday Morning: Pipeline Control",inactive,"7-day click, 1-day view or 1-day engaged view",,,11,1,,"Using campaign budget",0,0.76,Ongoing,-,-,-,11,69.090909,1,,0.76,9.090909,1,9.090909,0.76,,
2026-03-10,2026-04-03,"Img 26 | Sell Spec, Not Price",inactive,"7-day click, 1-day view or 1-day engaged view",,,93,1.11828,,"Using campaign budget",0,8.95,Ongoing,-,-,-,104,86.057692,4,,2.2375,3.846154,3,2.884615,2.983333,,
2026-03-10,2026-04-03,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,121,1.190083,,"Using campaign budget",0,20.37,Ongoing,-,-,-,144,141.458333,9,,2.263333,6.25,10,6.944444,2.037,,
2026-03-10,2026-04-03,"Img 13 | Stop Selling Price, Sell Spec",inactive,"7-day click, 1-day view or 1-day engaged view",,,199,1.361809,,"Using campaign budget",0,12.63,Ongoing,-,-,-,271,46.605166,52,,0.242885,19.188192,47,17.343173,0.268723,4,3.1575
2026-03-10,2026-04-03,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,5,1.8,,"Using campaign budget",0,0.14,Ongoing,-,-,-,9,15.555556,2,,0.07,22.222222,1,11.111111,0.14,,
2026-03-10,2026-04-03,"Img 5 | Don't be the lowest bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,80,1,,"Using campaign budget",0,4.77,Ongoing,-,-,-,80,59.625,2,,2.385,2.5,4,5,1.1925,1,4.77
2026-03-10,2026-04-03,"Img 23 | Monday Morning: Pipeline Control",inactive,"7-day click, 1-day view or 1-day engaged view",,,96,1.125,,"Using campaign budget",0,11.92,Ongoing,-,-,-,108,110.37037,12,,0.993333,11.111111,11,10.185185,1.083636,,
2026-03-10,2026-04-03,"Img 1 | After Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,30,1.1,,"Using campaign budget",0,6.42,Ongoing,-,-,-,33,194.545455,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 2 | Specs Lock Fast",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,149,1.127517,,"Using campaign budget",0,10.12,Ongoing,-,-,-,168,60.238095,4,,2.53,2.380952,4,2.380952,2.53,2,5.06
2026-03-10,2026-04-03,"Img 27 | Your Competitor Is Already in the Plans",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,68,1.161765,,"Using campaign budget",0,4.59,Ongoing,-,-,-,79,58.101266,1,,4.59,1.265823,1,1.265823,4.59,1,4.59
